preusuel,sexe,annais,nombre
ILAN,18,36171,10935
SOLÈNE,36,36171,10786
ALEX,54,72342,10748
BRYAN,18,36171,10712
ISAAC,18,36171,10661
LILA,36,36171,10659
ALEXIA,36,36171,10652
NOUR,54,72342,10628
NASSIM,18,36171,10551
EMMY,36,36171,10536
LORIS,22,40183,10523
TIMOTHÉE,24,42178,10511
LAURINE,36,36171,10483
ELIAS,18,36171,10452
CHARLINE,36,36171,10273
JOSEPH,18,36171,10260
NINON,36,36171,10246
WASSIM,18,36171,10214
CLARISSE,36,36171,10194
CONSTANCE,36,36171,10123
YOUSSEF,18,36171,10122
THIBAUT,18,36171,10059
TONY,20,38187,10016
JULIAN,18,36171,10008
CLÉMENTINE,36,36171,9959
AMIR,18,36171,9957
LOGAN,34,52222,9937
FLAVIE,36,36171,9925
ALBAN,18,36171,9859
HAMZA,18,36171,9801
LOANE,47,58272,9754
EWEN,34,52261,9658
GIULIA,36,36171,9598
ILONA,36,36171,9566
CLAIRE,36,36171,9543
ELODIE,36,36171,9450
MORGAN,50,68307,9448
NAEL,48,66309,9423
ALI,26,44223,9407
AMAURY,18,36171,9321
NOÉMIE,34,34170,9320
MANEL,54,72342,9306
BILAL,18,36171,9217
LUCILE,36,36171,9207
NAËL,28,40266,9177
GAËTAN,18,36171,9148
JOHAN,20,38174,9140
NOHAM,18,36171,9129
IRIS,37,38189,9066
ELIOT,18,36171,9037
CHARLY,54,72342,9031
PABLO,18,36171,9011
ELINA,36,36171,8903
OWEN,18,36171,8869
LUKA,20,38175,8869
STELLA,36,36171,8823
LISON,36,36171,8734
CORALIE,36,36171,8712
SOPHIE,36,36171,8695
ROXANE,36,36171,8663
EMELINE,36,36171,8643
SAMY,18,36171,8615
RAYANE,46,64286,8613
ALYSSA,36,36171,8509
MILO,26,44229,8471
JONATHAN,18,36171,8394
LÉANDRE,46,64299,8372
MARCEAU,18,36171,8327
ROMY,41,46210,8317
LYA,36,36171,8263
ADEM,18,36171,8253
MILAN,22,40199,8251
ESTELLE,36,36171,8242
LYAM,30,48247,8231
SOAN,34,52246,8196
SELMA,36,36171,8164
GARANCE,46,56298,8155
MÉLANIE,36,36171,8135
IMRAN,28,46206,8072
YACINE,54,72342,8048
KAÏS,11,22143,8034
AUDREY,36,36171,8020
ANGELINA,36,36171,7957
ZAKARIA,18,36171,7941
LENA,24,24148,7932
JOSHUA,18,36171,7910
CLOE,36,36171,7902
ALAN,18,36171,7892
LILIA,36,36171,7882
LUKAS,18,36171,7841
LYLOU,36,36171,7826
CHIARA,36,36171,7779
LEO,13,26151,7771
SOLINE,36,36171,7701
RAPHAEL,15,30165,7677
CLÉA,36,36171,7622
LUCIEN,18,36171,7618
LOUISON,54,72342,7615
FLORA,36,36171,7581
KYLLIAN,18,36171,7578
MAHÉ,54,72342,7574
CASSANDRE,53,70341,7561
MARIA,36,36171,7551
SALMA,36,36171,7544
RACHEL,36,36171,7534
NORA,36,36171,7518
BASILE,18,36171,7475
AMINA,36,36171,7419
AHMED,18,36171,7373
SHANA,36,36171,7355
ALEXANDRA,36,36171,7326
ANISSA,36,36171,7264
ISMAEL,18,36171,7240
SIRINE,37,38177,7218
ANAS,18,36171,7126
GAUTHIER,18,36171,7120
ENOLA,36,36171,7095
MELINE,36,36171,7088
TÉO,18,36171,7078
KILIAN,18,36171,7063
KELLY,52,68308,7039
DIANE,36,36171,7021
IMANE,52,68327,7007
ETIENNE,18,36171,6991
SAMI,18,36171,6990
MELVIN,18,36171,6981
MYA,36,36171,6973
TESS,36,36171,6947
AYMERIC,18,36171,6906
ARMAND,18,36171,6891
AURORE,36,36171,6877
DIMITRI,18,36171,6871
JASON,18,36171,6818
EMILIEN,18,36171,6815
ANGÈLE,36,36171,6788
LOU-ANNE,36,36171,6761
LEA,34,34164,6726
WALID,18,36171,6705
LOÏS,54,72342,6699
ANIS,20,38176,6697
ELEA,36,36171,6671
MARYAM,36,36171,6666
SOHAN,32,50236,6659
NOLANN,18,36171,6658
LOUISA,36,36171,6644
FÉLIX,18,36171,6642
ARNAUD,18,36171,6638
YANNIS,20,38173,6610
JUSTIN,18,36171,6599
ALIZÉE,36,36171,6568
NOLHAN,18,36171,6567
DANIEL,18,36171,6566
MATTHIAS,18,36171,6529
ANOUK,37,38174,6524
CHLOE,24,24148,6497
ELOUAN,18,36171,6422
TESSA,36,36171,6399
EMMANUEL,20,38178,6398
ELIE,52,70339,6396
AYMEN,18,36171,6331
JORIS,18,36171,6273
SÉBASTIEN,18,36171,6253
MAËLLE,36,36171,6175
MARINA,36,36171,6169
ALLAN,18,36171,6163
THAÏS,29,38261,6148
AMÉLIA,36,36171,6140
MARWA,36,36171,6133
ALBANE,36,36171,6128
TIMOTHE,18,36171,6102
EDOUARD,18,36171,6088
UGO,18,36171,6074
LENY,46,64291,6047
ELINE,36,36171,6043
LOU-ANN,36,36171,6038
ROMÉO,18,36171,5992
LEILA,36,36171,5992
YOHAN,18,36171,5983
JESSICA,36,36171,5982
ELLIOT,18,36171,5961
EMILE,18,36171,5939
NAOMIE,36,36171,5937
MARWAN,18,36171,5928
GRÉGOIRE,18,36171,5912
LIVIA,36,36171,5906
ELOÏSE,28,28152,5884
LILI,36,36171,5868
LARA,36,36171,5839
ACHILLE,18,36171,5832
ISMAËL,18,36171,5824
DJIBRIL,18,36171,5818
AMEL,48,60270,5792
THAIS,53,70324,5755
EWAN,18,36171,5735
ANA,36,36171,5696
STEVEN,18,36171,5688
VIOLETTE,36,36171,5687
CAROLINE,36,36171,5659
ISSA,22,40191,5646
LALY,36,36171,5639
MICKAEL,18,36171,5630
OPHÉLIE,36,36171,5629
RÉMY,18,36171,5629
ELIO,18,36171,5616
MATIS,18,36171,5609
LAURE,36,36171,5595
ABEL,18,36171,5594
BENOÎT,18,36171,5587
LUDIVINE,36,36171,5586
ANDY,38,56235,5578
FATIMA,36,36171,5564
FLORENT,18,36171,5555
SOPHIA,36,36171,5534
SANDRO,18,36171,5494
GAEL,24,42183,5492
MARC,18,36171,5464
PERRINE,36,36171,5464
JASMINE,36,36171,5452
FABIO,18,36171,5445
NAOMI,36,36171,5437
ELEONORE,36,36171,5425
CAMÉLIA,36,36171,5405
LILY-ROSE,36,36171,5387
ASMA,36,36171,5366
WENDY,52,68307,5360
MAISSA,38,40187,5350
MALONE,50,68338,5342
FRANÇOIS,18,36171,5339
ZÉLIE,22,22136,5336
