Dernier diplôme obtenu,Branche,Semestre,Correcteur médian,Note médian,Note TP,Correcteur final,Note final,Note ECTS
AUTRE DIPLOME UNIVERSITAIRE DE 1ER CYCLE HORS DUT,GSU,1,Cor1,12.5,10.4,Cor0,15.0,B
BACCALAURÉAT,GB,4,Cor1,15.25,18.4,Cor0,13.5,A
DUT,GP,4,Cor1,2.25,16.0,Cor0,5.5,F
BACCALAURÉAT,IM,4,Cor1,13.25,10.4,Cor0,11.0,B
DUT,GI,4,Cor2,7,12.8,Cor0,11.0,C
DUT,IM,2,Cor2,9.5,16.8,Cor0,10.5,C
BACCALAURÉAT,IM,2,Cor2,12,16.0,Cor0,13.5,B
BACCALAURÉAT,GI,2,Cor2,23,19.2,Cor0,18.0,A
LICENCE ET LICENCE LMD,GSU,2,Cor2,12.5,15.2,Cor0,11.5,B
BACCALAURÉAT,GSU,1,,ABS,,,,ABS
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GB,2,Cor2,12.5,18.4,Cor0,13.0,B
DUT,IM,8,Cor2,2,6.4,Cor6,4.0,F
DUT,IM,2,Cor2,6,16.8,Cor0,14.0,C
DIPLOME ETAB ETRANGER SECONDAIRE,IM,5,Cor2,14.5,8.8,Cor0,10.0,B
BACCALAURÉAT,GSU,2,Cor2,8,16.0,Cor0,10.5,C
BACCALAURÉAT,GI,1,Cor2,7,5.6,Cor0,2.0,F
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,GSU,2,Cor2,1.5,4.8,Cor0,3.5,F
BACCALAURÉAT,IM,1,Cor2,7.5,5.6,Cor0,11.5,D
BACCALAURÉAT,GI,2,Cor2,8,15.2,Cor0,2.5,F
BACCALAURÉAT,GB,4,Cor2,14,19.2,Cor0,14.5,A
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,2,Cor2,14,11.2,Cor0,14.0,B
DUT,GI,6,Cor2,3.5,,Cor0,2.0,F
BACCALAURÉAT,GI,2,Cor2,11,17.6,Cor0,12.0,B
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,2,Cor2,1.5,12.0,Cor0,8.5,F
BACCALAURÉAT,GB,1,Cor2,3.5,10.4,Cor0,8.5,E
BACCALAURÉAT,TC,4,Cor2,8.5,10.4,Cor0,10.0,C
BACCALAURÉAT,IM,2,Cor3,11,16.0,Cor0,15.0,B
BACCALAURÉAT,GB,4,Cor3,10,7.2,Cor0,11.0,C
DUT,GI,2,Cor2,7,12.0,Cor6,7.0,D
BACCALAURÉAT,GB,2,Cor2,5.5,15.2,Cor0,8.5,D
ATTESTATION DELIVREE A LA SUITE D'UN CURSUS EN CPGE,IM,4,Cor2,11.5,10.4,Cor0,10.0,C
BACCALAURÉAT,IM,2,Cor3,6.5,14.4,Cor1,8.75,D
BACCALAURÉAT,TC,4,Cor3,25.5,18.4,Cor1,17.5,A
BACCALAURÉAT,HuTech,6,Cor3,4.5,9.6,Cor1,6.75,E
DUT,IM,4,Cor3,4,8.0,Cor1,7.25,F
BACCALAURÉAT,IM,2,Cor3,10.5,14.4,Cor1,14.5,B
DIPLOME ETAB ETRANGER SUPERIEUR,GB,5,Cor3,4.5,12.8,Cor1,11.5,D
